Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Michael Carter-Williams\cartemi01,22-020,G,2013-10-30,PHI,,MIA,W,1,36,6,10,.600,2,4,.500,4,6,.667,6,8,.750,0,7,7,12,9,0,1,1,22,34.7
2,Lamar Odom\odomla01,19-361,F,1999-11-02,LAC,,SEA,L,1,44,10,18,.556,8,13,.615,2,5,.400,8,15,.533,2,10,12,3,2,2,3,1,30,25.1
3,LeBron James\jamesle01,18-303,F-G,2003-10-29,CLE,@,SAC,L,1,42,12,20,.600,12,18,.667,0,2,.000,1,3,.333,2,4,6,9,4,0,2,3,25,24.7
4,David Robinson\robinda01,24-090,C,1989-11-04,SAS,,LAL,W,1,34,6,11,.545,6,11,.545,0,0,,11,14,.786,7,10,17,1,1,3,3,5,23,23.2
5,Gordan Giricek\giricgo01,25-132,G-F,2002-10-30,MEM,,DAL,L,0,31,10,13,.769,6,7,.857,4,6,.667,5,8,.625,0,5,5,1,1,0,3,1,29,22.5
6,Allen Iverson\iversal01,21-147,G,1996-11-01,PHI,,MIL,L,1,37,12,19,.632,10,15,.667,2,4,.500,4,6,.667,2,0,2,6,1,0,3,5,30,22.3
7,Tom Gugliotta\guglito01,22-323,F,1992-11-06,WSB,@,CHH,L,1,37,9,12,.750,9,10,.900,0,2,.000,2,2,1.000,2,4,6,7,2,1,2,3,20,22.2
8,Ron Anderson\anderro01,26-011,F-G,1984-10-26,CLE,@,PHI,L,1,40,10,14,.714,10,14,.714,0,0,,7,9,.778,2,3,5,5,1,0,4,3,27,22.0
9,Willie Anderson\anderwi01,21-302,G-F,1988-11-05,SAS,,LAL,W,1,38,12,25,.480,12,25,.480,0,0,,6,8,.750,2,3,5,6,2,0,2,4,30,21.4
10,Donyell Marshall\marshdo01,21-170,F,1994-11-04,MIN,@,DEN,L,0,26,9,18,.500,4,10,.400,5,8,.625,3,6,.500,2,2,4,2,0,3,0,0,26,21.3
11,Rumeal Robinson\robinru01,23-354,G,1990-11-02,ATL,,ORL,W,1,29,8,13,.615,8,13,.615,0,0,,3,5,.600,3,4,7,7,0,3,1,1,19,21.2
12,Blake Griffin\griffbl01,21-225,F,2010-10-27,LAC,,POR,L,1,39,8,14,.571,8,14,.571,0,0,,4,6,.667,9,5,14,4,1,0,2,4,20,20.6
13,Steve Smith\smithst01,22-216,G,1991-11-02,MIA,,NYK,W,1,38,8,11,.727,6,9,.667,2,2,1.000,6,6,1.000,0,6,6,5,2,0,5,3,24,20.6
14,Hot Rod Williams\williho01,24-084,F-C,1986-11-01,CLE,,WSB,W,1,39,8,11,.727,8,11,.727,0,0,,6,7,.857,2,5,7,3,1,1,2,4,22,20.2
15,Grant Hill\hillgr01,22-030,F-G,1994-11-04,DET,,LAL,L,1,38,8,19,.421,7,18,.389,1,1,1.000,8,10,.800,6,4,10,5,0,3,3,5,25,20.1
16,Anthony Davis\davisan02,19-234,F-C,2012-10-31,NOH,,SAS,L,1,29,6,12,.500,6,12,.500,0,0,,9,9,1.000,3,4,7,0,1,1,0,0,21,20.0
17,Hersey Hawkins\hawkihe01,22-036,G,1988-11-04,PHI,,LAC,W,1,39,7,13,.538,7,13,.538,0,0,,6,6,1.000,1,4,5,8,4,0,4,3,20,20.0
18,Bryant Stith\stithbr01,21-333,G,1992-11-07,DEN,,SAS,W,0,29,6,13,.462,6,13,.462,0,0,,8,11,.727,4,2,6,0,4,2,1,1,20,19.5
19,Paul Pierce\piercpa01,21-115,F-G,1999-02-05,BOS,,TOR,L,1,39,7,14,.500,5,10,.500,2,4,.500,3,6,.500,0,9,9,5,2,4,1,4,19,19.2
20,Emeka Okafor\okafoem01,22-037,C-F,2004-11-04,CHA,,WAS,L,1,32,5,9,.556,5,9,.556,0,0,,9,10,.900,4,6,10,1,0,1,0,3,19,19.1
21,Nick Van Exel\vanexni01,21-343,G,1993-11-05,LAL,,PHO,W,1,31,9,13,.692,7,8,.875,2,5,.400,3,4,.750,0,3,3,8,0,0,3,4,23,19.0
22,Mitchell Wiggins\wiggimi01,24-031,G,1983-10-29,CHI,,NJN,W,0,36,9,20,.450,9,20,.450,0,0,,8,9,.889,2,7,9,2,2,0,2,3,26,18.9
23,Dillon Brooks\brookdi01,21-269,G-F,2017-10-18,MEM,,NOP,W,0,29,7,13,.538,7,11,.636,0,2,.000,5,7,.714,2,3,5,2,4,2,2,2,19,18.2
24,Jason Williams\willija02,23-079,G,1999-02-05,SAC,@,SAS,L,1,36,9,19,.474,6,12,.500,3,7,.429,0,0,,0,4,4,3,5,1,2,1,21,17.9
25,Bobby Jackson\jacksbo01,24-232,G,1997-10-31,DEN,,SAS,L,1,37,10,19,.526,8,16,.500,2,3,.667,5,5,1.000,3,3,6,1,2,0,4,4,27,17.8
26,Ronald Dupree\duprero01,22-346,F,2004-01-07,CHI,@,MIA,L,0,26,7,11,.636,7,11,.636,0,0,,4,4,1.000,5,4,9,3,0,0,1,3,18,17.7
27,Ben Simmons\simmobe01,21-090,G-F,2017-10-18,PHI,@,WAS,L,1,35,7,15,.467,7,15,.467,0,0,,4,6,.667,3,7,10,5,2,1,1,3,18,17.7
28,Willie Burton\burtowi01,22-160,F-G,1990-11-02,MIA,,WSB,W,0,24,9,14,.643,9,14,.643,0,0,,7,9,.778,2,1,3,1,2,0,3,5,25,17.4
29,T.J. Ford\fordtj01,20-221,G,2003-10-31,MIL,@,IND,W,1,34,5,7,.714,5,6,.833,0,1,.000,1,1,1.000,2,9,11,7,2,1,2,1,11,17.4
30,Richard Dumas\dumasri02,23-213,F,1992-12-18,PHO,@,LAL,W,0,17,8,10,.800,8,10,.800,0,0,,0,0,,1,1,2,2,2,1,0,0,16,17.3
31,Eddie Lee Wilkins\wilkied01,22-173,F-C,1984-10-27,NYK,,DET,W,0,27,9,14,.643,9,14,.643,0,0,,6,8,.750,3,7,10,0,2,0,4,5,24,17.2
32,James Singleton\singlja01,24-105,F,2005-11-02,LAC,@,SEA,W,0,25,7,8,.875,7,8,.875,0,0,,0,0,,5,5,10,1,1,1,0,4,14,17.0
33,Adrian Griffin\griffad01,25-121,G-F,1999-11-02,BOS,@,TOR,W,1,28,5,9,.556,5,8,.625,0,1,.000,4,4,1.000,1,2,3,7,2,2,0,6,14,16.9
34,Damian Lillard\lillada01,22-108,G,2012-10-31,POR,,LAL,W,1,35,7,17,.412,6,13,.462,1,4,.250,8,8,1.000,0,3,3,11,1,0,6,2,23,16.7
35,Hakeem Olajuwon\olajuha01,21-280,C,1984-10-27,HOU,@,DAL,W,1,28,11,18,.611,11,18,.611,0,0,,2,5,.400,6,3,9,1,0,1,3,4,24,16.5
36,Rudy Fernandez\fernaru01,23-207,G,2008-10-28,POR,@,LAL,L,0,29,5,10,.500,2,5,.400,3,5,.600,3,3,1.000,0,2,2,4,2,0,0,0,16,16.4
37,Jamal Mashburn\mashbja01,20-341,F,1993-11-05,DAL,@,UTA,L,1,33,8,15,.533,7,9,.778,1,6,.167,5,9,.556,1,2,3,5,0,0,1,2,22,16.1
38,Jahlil Okafor\okafoja01,19-317,C-F,2015-10-28,PHI,@,BOS,L,1,38,10,16,.625,10,16,.625,0,0,,6,6,1.000,4,3,7,1,1,2,8,4,26,16.0
39,Otis Thorpe\thorpot01,22-083,F-C,1984-10-27,KCK,,POR,L,0,26,7,10,.700,7,10,.700,0,0,,7,11,.636,3,6,9,0,0,0,2,3,21,15.9
40,Mookie Blaylock\blaylmo01,22-228,G,1989-11-03,NJN,@,MIA,W,0,22,5,8,.625,4,7,.571,1,1,1.000,6,6,1.000,1,4,5,5,0,0,3,0,17,15.8
41,Mario Chalmers\chalmma01,22-163,G,2008-10-29,MIA,@,NYK,L,1,36,7,13,.538,5,9,.556,2,4,.500,1,2,.500,1,6,7,8,0,0,1,4,17,15.8
42,Jake Layman\laymaja01,22-239,F,2016-11-01,POR,,GSW,L,0,8,6,8,.750,1,1,1.000,5,7,.714,0,0,,0,1,1,1,1,0,0,0,17,15.8
43,Ty Lawson\lawsoty01,21-359,G,2009-10-28,DEN,,UTA,W,0,26,7,13,.538,7,11,.636,0,2,.000,3,3,1.000,1,3,4,6,1,0,1,2,17,15.7
44,Jerry Stackhouse\stackje01,20-363,G-F,1995-11-03,PHI,,WSB,W,1,37,11,18,.611,9,14,.643,2,4,.500,3,3,1.000,1,0,1,0,3,0,6,2,27,15.7
45,Jason Thompson\thompja02,22-100,F-C,2008-10-29,SAC,@,MIN,L,0,22,7,11,.636,7,11,.636,0,0,,4,4,1.000,2,8,10,0,0,1,2,0,18,15.6
46,Stephen Curry\curryst01,21-228,G,2009-10-28,GSW,,HOU,L,1,36,7,12,.583,7,11,.636,0,1,.000,0,0,,1,1,2,7,4,0,2,2,14,15.5
47,Rudy Gay\gayru01,20-076,F,2006-11-01,MEM,,NYK,L,0,38,8,21,.381,7,20,.350,1,1,1.000,4,4,1.000,4,4,8,0,1,4,1,2,21,15.5
48,Brevin Knight\knighbr01,21-357,G,1997-10-31,CLE,@,HOU,L,0,24,5,9,.556,5,9,.556,0,0,,8,10,.800,1,1,2,2,3,0,1,5,18,15.3
49,Mahmoud Abdul-Rauf\abdulma02,21-246,G,1990-11-10,DEN,@,PHO,L,1,25,12,19,.632,11,18,.611,1,1,1.000,1,2,.500,1,2,3,6,1,0,7,4,26,15.0
50,Frank Brickowski\brickfr01,25-073,F-C,1984-10-26,SEA,,UTA,W,0,14,5,6,.833,5,6,.833,0,0,,6,7,.857,1,3,4,2,0,0,1,1,16,15.0
51,Chris Webber\webbech01,20-253,F-C,1993-11-09,GSW,,HOU,L,1,34,5,12,.417,5,12,.417,0,0,,5,6,.833,1,6,7,3,3,2,1,3,15,15.0
52,Evan Turner\turneev01,22-000,G,2010-10-27,PHI,,MIA,L,0,31,7,10,.700,7,10,.700,0,0,,2,3,.667,1,6,7,4,0,1,2,2,16,14.6
53,Dennis Smith\smithde03,19-327,G,2017-10-18,DAL,,ATL,L,1,30,6,12,.500,5,8,.625,1,4,.250,3,4,.750,2,1,3,10,0,0,3,2,16,14.5
54,Kendall Gill\gillke01,22-161,G,1990-11-02,CHH,,NYK,L,0,23,7,11,.636,7,11,.636,0,0,,2,2,1.000,0,3,3,8,0,0,2,3,16,14.4
55,Darrell Arthur\arthuda01,20-218,F,2008-10-29,MEM,@,HOU,L,0,27,5,9,.556,5,8,.625,0,1,.000,1,2,.500,4,11,15,1,1,2,0,3,11,14.3
56,Anthony Goldwire\goldwan01,24-140,G,1996-01-24,CHH,,WSB,W,0,15,5,7,.714,4,6,.667,1,1,1.000,4,4,1.000,0,2,2,4,0,0,0,3,15,14.3
57,Sylvester Gray\graysy01,21-120,F,1988-11-05,MIA,,LAC,L,0,22,4,11,.364,4,11,.364,0,0,,7,7,1.000,3,4,7,2,1,0,0,1,15,14.2
58,Eric Williams\willier01,23-109,F,1995-11-03,BOS,,MIL,L,0,20,5,8,.625,5,7,.714,0,1,.000,6,8,.750,2,4,6,1,0,0,0,2,16,14.1
59,Tony Brown\brownto01,24-090,F-G,1984-10-27,IND,,WSB,L,1,38,5,12,.417,5,12,.417,0,0,,3,4,.750,3,3,6,6,1,0,0,1,13,14.0
60,Anfernee Hardaway\hardaan01,22-110,G-F,1993-11-05,ORL,@,MIA,W,1,36,6,13,.462,6,10,.600,0,3,.000,0,0,,5,3,8,8,0,1,2,0,12,14.0
61,Sasha Danilovic\danilsa01,25-251,G,1995-11-04,MIA,,CLE,W,1,30,5,11,.455,2,5,.400,3,6,.500,3,4,.750,1,3,4,3,1,0,0,2,16,13.8
62,Warren Kidd\kiddwa01,23-057,F,1993-11-05,PHI,,WSB,W,1,29,5,5,1.000,5,5,1.000,0,0,,1,1,1.000,2,7,9,0,2,2,1,4,11,13.8
63,Paul Graham\grahapa01,23-345,F-G,1991-11-08,ATL,@,BOS,W,0,17,4,9,.444,4,8,.500,0,1,.000,2,2,1.000,3,2,5,3,3,2,0,2,10,13.7
64,Andrew Bogut\bogutan01,20-338,C,2005-11-01,MIL,@,PHI,W,1,37,6,9,.667,6,9,.667,0,0,,1,1,1.000,4,5,9,1,0,3,1,4,13,13.6
65,Speedy Claxton\claxtsp01,23-175,G,2001-10-30,PHI,@,MIN,L,1,40,7,15,.467,6,14,.429,1,1,1.000,5,5,1.000,1,0,1,4,1,0,2,3,20,13.6
66,Daequan Cook\cookda02,20-188,G,2007-11-02,MIA,@,IND,L,0,29,7,12,.583,4,8,.500,3,4,.750,0,0,,1,4,5,3,2,0,3,2,17,13.6
67,Dwight Howard\howardw01,18-331,C,2004-11-03,ORL,,MIL,W,1,38,6,11,.545,6,11,.545,0,0,,0,6,.000,3,7,10,2,3,4,1,3,12,13.5
68,Dikembe Mutombo\mutomdi01,25-129,C,1991-11-01,DEN,,GSW,L,1,37,6,20,.300,6,20,.300,0,0,,6,8,.750,7,9,16,2,0,3,2,3,18,13.5
69,Thabo Sefolosha\sefolth01,22-182,G-F,2006-10-31,CHI,@,MIA,W,0,11,4,4,1.000,4,4,1.000,0,0,,3,3,1.000,2,0,2,1,2,0,0,1,11,13.5
70,Spud Webb\webbsp01,22-104,G,1985-10-25,ATL,,WSB,L,1,29,5,7,.714,5,7,.714,0,0,,2,2,1.000,0,3,3,10,1,0,3,4,12,13.4
71,Bo Outlaw\outlabo01,22-308,F,1994-02-15,LAC,@,LAL,W,0,22,5,7,.714,5,7,.714,0,0,,3,3,1.000,2,5,7,1,1,0,1,1,13,13.3
72,Trevor Ruffin\ruffitr01,24-046,G,1994-11-11,PHO,@,SEA,L,0,14,5,7,.714,1,2,.500,4,5,.800,3,4,.750,0,1,1,3,1,0,3,2,17,13.3
73,DeJuan Blair\blairde01,20-189,F-C,2009-10-28,SAS,,NOH,W,0,23,7,10,.700,7,10,.700,0,0,,0,1,.000,5,6,11,3,0,0,2,4,14,13.2
74,Chris Paul\paulch01,20-179,G,2005-11-01,NOK,,SAC,W,1,34,3,7,.429,2,4,.500,1,3,.333,6,6,1.000,0,8,8,4,2,1,4,0,13,13.2
75,Dajuan Wagner\wagneda02,19-295,G,2002-11-26,CLE,,SAC,L,1,33,4,10,.400,2,5,.400,2,5,.400,7,9,.778,0,2,2,3,3,0,1,6,17,13.1
76,Briante Weber\weberbr01,23-073,G,2016-03-11,MEM,,NOP,W,1,40,4,6,.667,4,6,.667,0,0,,2,2,1.000,1,4,5,7,1,1,2,2,10,13.1
77,John Collins\collijo01,20-025,F,2017-10-18,ATL,@,DAL,W,0,22,6,10,.600,6,10,.600,0,0,,2,3,.667,3,2,5,1,2,0,1,1,14,13.0
78,Michael Hawkins\hawkimi01,24-106,G,1997-02-11,BOS,@,LAC,L,0,17,4,5,.800,2,2,1.000,2,3,.667,4,4,1.000,0,1,1,2,1,0,1,2,14,13.0
79,Sasha Pavlovic\pavloal01,19-348,G-F,2003-10-29,UTA,,POR,W,0,21,6,8,.750,5,6,.833,1,2,.500,1,1,1.000,0,2,2,2,1,2,1,3,14,13.0
80,Kevinn Pinkney\pinknke01,23-166,F,2007-04-04,BOS,@,MIL,L,0,21,5,7,.714,5,7,.714,0,0,,5,5,1.000,1,1,2,0,0,1,0,2,15,13.0
81,Kevin Love\loveke01,20-052,F,2008-10-29,MIN,,SAC,W,0,19,5,8,.625,5,8,.625,0,0,,2,2,1.000,4,5,9,2,1,2,2,4,12,12.9
82,Shareef Abdur-Rahim\abdursh01,19-326,F,1996-11-01,VAN,,POR,L,1,35,6,14,.429,6,13,.462,0,1,.000,4,6,.667,2,3,5,2,3,1,2,1,16,12.8
83,Bo Kimble\kimblbo01,24-207,G,1990-11-02,LAC,,SAC,W,1,31,9,15,.600,9,14,.643,0,1,.000,4,5,.800,1,2,3,2,0,0,3,4,22,12.8
84,Kemba Walker\walkeke02,21-232,G,2011-12-26,CHA,,MIL,W,0,21,3,10,.300,3,8,.375,0,2,.000,7,7,1.000,2,5,7,3,1,0,0,1,13,12.8
85,Vince Carter\cartevi01,22-010,G-F,1999-02-05,TOR,@,BOS,W,1,31,5,11,.455,5,10,.500,0,1,.000,6,8,.750,1,2,3,2,2,1,1,3,16,12.7
86,Jerian Grant\grantje02,23-019,G,2015-10-28,NYK,@,MIL,W,0,24,4,7,.571,4,6,.667,0,1,.000,2,2,1.000,0,1,1,5,3,0,0,2,10,12.7
87,Jay Williams\willija03,21-050,G,2002-10-30,CHI,@,BOS,W,1,33,6,9,.667,5,7,.714,1,2,.500,0,5,.000,0,7,7,7,1,0,2,1,13,12.7
